sample_name	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	Flag_Number	Pool_region	Depth_Substrate_Sampling	Corresponding_DOM_Site	Spot_in_Site_for_Coring	ATTRIBUTE_Location 	ATTRIBUTE_linked_DOM_sample_number	DOM_Filter_LOT_number	ATTRIBUTE_Pool_region	ATTRIBUTE_submerged
Stromatolite_Tissue_69_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001979	electrospray ionization (positive)	reverse phase (C18)	S6-Core-1C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S6-Core-1C-Sat-low	not applicable	not applicable	not applicable	6	Middle	Core-bottom	6	3	Schoenmakerskop	S6-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_7_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001917	electrospray ionization (positive)	reverse phase (C18)	S1-Core-1A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-1A-Sat-low	not applicable	not applicable	not applicable	1	Inflow	Core-top	1	3	Schoenmakerskop	S1-DOM-1-Sat-low	6409030-04	Inflow	flowing
Stromatolite_Tissue_70_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001980	electrospray ionization (positive)	reverse phase (C18)	S6-Core-2A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S6-Core-2A-Sat-low	not applicable	not applicable	not applicable	6	Middle	Core-top	6	4	Schoenmakerskop	S6-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_71_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001981	electrospray ionization (positive)	reverse phase (C18)	S6-Core-2B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S6-Core-2B-Sat-low	not applicable	not applicable	not applicable	6	Middle	Core-middle	6	4	Schoenmakerskop	S6-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_72_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001982	electrospray ionization (positive)	reverse phase (C18)	S6-Core-2C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S6-Core-2C-Sat-low	not applicable	not applicable	not applicable	6	Middle	Core-bottom	6	4	Schoenmakerskop	S6-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_73_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001983	electrospray ionization (positive)	reverse phase (C18)	S7-Core-1A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S7-Core-1A-Fri-low	not applicable	not applicable	not applicable	7	Middle	Core-top	7	1	Schoenmakerskop	S7-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_74_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001984	electrospray ionization (positive)	reverse phase (C18)	S7-Core-1B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S7-Core-1B-Fri-low	not applicable	not applicable	not applicable	7	Middle	Core-middle	7	1	Schoenmakerskop	S7-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_75_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001985	electrospray ionization (positive)	reverse phase (C18)	S7-Core-1C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S7-Core-1C-Fri-low	not applicable	not applicable	not applicable	7	Middle	Core-bottom	7	1	Schoenmakerskop	S7-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_76_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001986	electrospray ionization (positive)	reverse phase (C18)	S7-Core-2A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S7-Core-2A-Fri-low	not applicable	not applicable	not applicable	7	Middle	Core-top	7	2	Schoenmakerskop	S7-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_77_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001987	electrospray ionization (positive)	reverse phase (C18)	S7-Core-2B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S7-Core-2B-Fri-low	not applicable	not applicable	not applicable	7	Middle	Core-middle	7	2	Schoenmakerskop	S7-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_78_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001988	electrospray ionization (positive)	reverse phase (C18)	S7-Core-2C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S7-Core-2C-Fri-low	not applicable	not applicable	not applicable	7	Middle	Core-bottom	7	2	Schoenmakerskop	S7-DOM-1-Fri-low	6409030-04	Middle	submerged
Stromatolite_Tissue_79_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001989	electrospray ionization (positive)	reverse phase (C18)	S7-Core-1A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S7-Core-1A-Sat-low	not applicable	not applicable	not applicable	7	Middle	Core-top	7	3	Schoenmakerskop	S7-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_8_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001918	electrospray ionization (positive)	reverse phase (C18)	S1-Core-1B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-1B-Sat-low	not applicable	not applicable	not applicable	1	Inflow	Core-middle	1	3	Schoenmakerskop	S1-DOM-1-Sat-low	6409030-04	Inflow	flowing
Stromatolite_Tissue_80_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001990	electrospray ionization (positive)	reverse phase (C18)	S7-Core-1B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S7-Core-1B-Sat-low	not applicable	not applicable	not applicable	7	Middle	Core-middle	7	3	Schoenmakerskop	S7-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_81_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001991	electrospray ionization (positive)	reverse phase (C18)	S7-Core-1C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S7-Core-1C-Sat-low	not applicable	not applicable	not applicable	7	Middle	Core-bottom	7	3	Schoenmakerskop	S7-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_82_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001992	electrospray ionization (positive)	reverse phase (C18)	S7-Core-2A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S7-Core-2A-Sat-low	not applicable	not applicable	not applicable	7	Middle	Core-top	7	4	Schoenmakerskop	S7-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_83_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001993	electrospray ionization (positive)	reverse phase (C18)	S7-Core-2B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S7-Core-2B-Sat-low	not applicable	not applicable	not applicable	7	Middle	Core-middle	7	4	Schoenmakerskop	S7-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_84_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001994	electrospray ionization (positive)	reverse phase (C18)	S7-Core-2C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S7-Core-2C-Sat-low	not applicable	not applicable	not applicable	7	Middle	Core-bottom	7	4	Schoenmakerskop	S7-DOM-1-Sat-low	6409030-04	Middle	submerged
Stromatolite_Tissue_85_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001995	electrospray ionization (positive)	reverse phase (C18)	S8-Core-1A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-1A-Fri-low	not applicable	not applicable	not applicable	8	Lower	Core-top	8	1	Schoenmakerskop	S8-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_86_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001996	electrospray ionization (positive)	reverse phase (C18)	S8-Core-1B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-1B-Fri-low	not applicable	not applicable	not applicable	8	Lower	Core-middle	8	1	Schoenmakerskop	S8-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_87_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001997	electrospray ionization (positive)	reverse phase (C18)	S8-Core-1C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-1C-Fri-low	not applicable	not applicable	not applicable	8	Lower	Core-bottom	8	1	Schoenmakerskop	S8-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_88_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001998	electrospray ionization (positive)	reverse phase (C18)	S8-Core-2A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-2A-Fri-low	not applicable	not applicable	not applicable	8	Lower	Core-top	8	2	Schoenmakerskop	S8-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_89_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001999	electrospray ionization (positive)	reverse phase (C18)	S8-Core-2B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-2B-Fri-low	not applicable	not applicable	not applicable	8	Lower	Core-middle	8	2	Schoenmakerskop	S8-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_9_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001919	electrospray ionization (positive)	reverse phase (C18)	S1-Core-1C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-1C-Sat-low	not applicable	not applicable	not applicable	1	Inflow	Core-bottom	1	3	Schoenmakerskop	S1-DOM-1-Sat-low	6409030-04	Inflow	flowing
Stromatolite_Tissue_90_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002000	electrospray ionization (positive)	reverse phase (C18)	S8-Core-2C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-2C-Fri-low	not applicable	not applicable	not applicable	8	Lower	Core-bottom	8	2	Schoenmakerskop	S8-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_91_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002001	electrospray ionization (positive)	reverse phase (C18)	S8-Core-3A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-3A-Fri-low	not applicable	not applicable	not applicable	8	Lower	Core-top	8	3	Schoenmakerskop	S8-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_93_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002003	electrospray ionization (positive)	reverse phase (C18)	S8-Core-3C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-3C-Fri-low	not applicable	not applicable	not applicable	8	Lower	Core-bottom	8	3	Schoenmakerskop	S8-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_94_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002004	electrospray ionization (positive)	reverse phase (C18)	S8-Core-4A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-4A-Fri-low	not applicable	not applicable	not applicable	8	Lower	Core-top	8	4	Schoenmakerskop	S8-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_95_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002005	electrospray ionization (positive)	reverse phase (C18)	S8-Core-4B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-4B-Fri-low	not applicable	not applicable	not applicable	8	Lower	Core-middle	8	4	Schoenmakerskop	S8-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_96_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002006	electrospray ionization (positive)	reverse phase (C18)	S8-Core-4C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-4C-Fri-low	not applicable	not applicable	not applicable	8	Lower	Core-bottom	8	4	Schoenmakerskop	S8-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_97_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002007	electrospray ionization (positive)	reverse phase (C18)	S10-Core-1A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-1A-Fri-low	not applicable	not applicable	not applicable	10	Lower	Core-top	10	1	Schoenmakerskop	S10-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_98_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002008	electrospray ionization (positive)	reverse phase (C18)	S10-Core-2A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-2A-Fri-low	not applicable	not applicable	not applicable	10	Lower	Core-middle	10	2	Schoenmakerskop	S10-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_99_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002009	electrospray ionization (positive)	reverse phase (C18)	S10-Core-1C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-1C-Fri-low	not applicable	not applicable	not applicable	10	Lower	Core-bottom	10	1	Schoenmakerskop	S10-DOM-1-Fri-low	6409030-04	Lower	flowing
blank_0.mzML	blank	blank	not specified	2019	blank	methanol (100%)	none	Q Exactive|MS:1002010	electrospray ionization (positive)	reverse phase (C18)	blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	blank	blank	blank	blank	na
blank_0b.mzML	blank	blank	not specified	2019	blank	methanol (100%)	none	Q Exactive|MS:1002011	electrospray ionization (positive)	reverse phase (C18)	blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	blank	blank	blank	blank	na
blank_1.mzML	blank	blank	not specified	2019	blank	methanol (100%)	none	Q Exactive|MS:1002012	electrospray ionization (positive)	reverse phase (C18)	blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	blank	blank	blank	blank	na
blank_1b.mzML	blank	blank	not specified	2019	blank	methanol (100%)	none	Q Exactive|MS:1002013	electrospray ionization (positive)	reverse phase (C18)	blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	blank	blank	blank	blank	na
blank_2.mzML	blank	blank	not specified	2019	blank	methanol (100%)	none	Q Exactive|MS:1002014	electrospray ionization (positive)	reverse phase (C18)	blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	blank	blank	blank	blank	na
blank_3.mzML	blank	blank	not specified	2019	blank	methanol (100%)	none	Q Exactive|MS:1002015	electrospray ionization (positive)	reverse phase (C18)	blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	blank	blank	blank	blank	na
blank_4.mzML	blank	blank	not specified	2019	blank	methanol (100%)	none	Q Exactive|MS:1002016	electrospray ionization (positive)	reverse phase (C18)	blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	blank	blank	blank	blank	na
blank_5.mzML	blank	blank	not specified	2019	blank	methanol (100%)	none	Q Exactive|MS:1002017	electrospray ionization (positive)	reverse phase (C18)	blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	blank	blank	blank	blank	na
blank_6.mzML	blank	blank	not specified	2019	blank	methanol (100%)	none	Q Exactive|MS:1002018	electrospray ionization (positive)	reverse phase (C18)	blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	blank	blank	blank	blank	na
blank.mzML	blank	blank	not specified	2019	blank	methanol (100%)	none	Q Exactive|MS:1002019	electrospray ionization (positive)	reverse phase (C18)	blank	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	blank	blank	blank	blank	na
